event_id,event_name
476,UFC 147: Silva vs Franklin 2
477,UFC on FX: Maynard vs Guida
478,UFC on FX: Johnson vs McCall
479,The Ultimate Fighter: Live Finale
480,UFC 146: Dos Santos vs Mir
481,UFC on FUEL TV: Korean Zombie vs Poirier
482,UFC on FOX: Diaz vs Miller
483,UFC 145: Jones vs Evans
484,UFC on FUEL TV: Gustafsson vs Silva
485,UFC on FX: Alves vs Kampmann
486,UFC 144: Edgar vs Henderson
487,UFC on FUEL TV: Sanchez vs Ellenberger
488,UFC 143: Diaz vs Condit
489,UFC on FOX: Evans vs Davis
490,UFC on FX: Guillard vs Miller
491,UFC 142: Aldo vs Mendes
492,UFC 141: Lesnar vs Overeem
493,UFC 140: Jones vs Machida
494,The Ultimate Fighter: Team Bisping vs Team Miller Finale
495,UFC 139: Shogun vs Henderson
496,UFC on FOX: Velasquez vs Dos Santos
497,UFC 138: Leben vs Munoz
498,UFC 137: Penn vs Diaz
499,UFC 136: Edgar vs Maynard 3
500,UFC Live: Cruz vs Johnson
501,UFC 135: Jones vs Rampage
502,UFC Fight Night: Shields vs Ellenberger
503,UFC 134: Silva vs Okami
504,UFC Live: Hardy vs Lytle
505,UFC 133: Evans vs Ortiz 2
506,UFC 132: Cruz vs Faber
507,UFC Live: Kongo vs Barry
508,UFC 131: Dos Santos vs Carwin
509,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale
510,UFC 130: Rampage vs Hamill
511,UFC 129: St-Pierre vs Shields
512,UFC Fight Night: Nogueira vs Davis
513,UFC 128: Shogun vs Jones
514,UFC Live: Sanchez vs Kampmann
515,UFC 127: Penn vs Fitch
516,UFC 126: Silva vs Belfort
517,UFC Fight Night: Fight for the Troops 2
518,UFC 125: Resolution
519,UFC 124: St-Pierre vs Koscheck 2
520,The Ultimate Fighter: Team GSP vs Team Koscheck Finale
521,UFC 123: Rampage vs Machida
522,UFC 122: Marquardt vs Okami
523,UFC 121: Lesnar vs Velasquez
